,IDs,Sequence,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Unnamed: 22
0,NonAllergen_850,msdildypdvsspaaapdladlggepararpsshlqrlesesihilrevaaefrkpvmlysigkdssvllhlamkafapgkppfpllhvdttwkfremiafrdqrirelgldllvhvnpdgvaqrvgpfshgsarhtdvmktqalrqaldahgfdaaiggarrdeeksrakerifshrsaahrwdpknqrpelwslyntmlapgesmrvfplsnwteldiwdyilieripivplyfaaerpvverdgalilvddermplrpgevpqwrsvrfrtlgcypltgavpstattlpaivqemmasrsseregrvidrdstasmerkkaegyf,10.06,0.3,6.71,7.01,3.66,5.49,3.05,4.88,3.35,9.45,3.35,1.22,7.62,2.44,10.06,7.62,3.66,6.1,1.83,2.13,0
1,NonAllergen_9187,mawrrvlsqvarnrsayaicneiiyanpsrilrgdtiaggtlrnlheryqssyvgsfarrmrqmdspseasllkeiyrsdperviqifesqpslhsnpsalaeyvkalvrvdrledstllktlqrgiaasareeenlgsvsenlgsvsafrsagqvtkdgilgtanapihmvtaetgqfkeqlwrtfrsialtfllisgigaliedrgiskglglneevqpsmesntkfsdvkgvdeakaeleeivhylrdpkrftrlggklpkgvllvgppgtgktmlaraiageagvpffscsgsefeemfvgvgarrvrdlfaaakkrspciifmdeidaiggsrnpkdqqymkmtlnqllveldgfkqnegiiviaatnfpesldkalvrpgrfdrhivvpnpdvegrrqileshmskvlksddvdlmiiargtpgfsgadlanlvnvaalkaamdgakavtmndleyakdrimmgserksavisdesrkltayhegghalvaihtegahpvhkativprgmalgmvaqlpdkdetsvsrkqmlarldvcmggrvaeelifgdsevtsgassdfqqatavaramvtkygmskqlgfvsynyeddgksmstetrlliekevkcfvenaynnaknilikhnkelhalanallehetltgaqiknilaqvnnkqqqehaieapqktpavpsspaasaaaaaaaaaaaaqqaaakakgeiagigs,12.45,0.7,4.62,7.27,3.08,7.69,2.1,5.87,5.87,8.53,3.22,3.92,3.64,3.92,6.29,7.69,4.2,6.71,0.28,1.96,0
2,NonAllergen_7088,mgtasragiasarrivvkvgsssisgenagqiaplvdaiaaahargaevvlvssgaiatgmpflrlddrpadlatqqaaaavgqsvlifryqesldrygivagqvlltagdlaapdhrenaqramerllglrllpvvnendtvatheirfgdndrlaalvarlvdadlllllsdvdalysrppeepgarriehvafgdelegveigstgtgvgtggavtkvaaarlaaeagtgvlltstaqvaealagahvgtwfaprs,18.15,0.0,5.79,5.79,1.93,10.42,1.93,4.25,0.77,11.2,1.16,1.93,3.47,3.09,7.72,5.79,5.41,9.65,0.39,1.16,0
3,NonAllergen_6252,maannqgeiryltplsvdtkkkkycrfkksgiryidykdpeflkkflneqgkilprritgtslkfqrrvaqavkrarhlallpyvtdmmk,6.67,1.11,4.44,3.33,4.44,4.44,1.11,5.56,14.44,10.0,3.33,3.33,4.44,4.44,10.0,3.33,5.56,4.44,0.0,5.56,0
4,NonAllergen_861,mifnkvierisilknrcrssecsiigvlfrmlmfrlvykkniltspkvkikniknikfnknsnlivglsnvnhvnnnsicyinnrgemhvsgnvfiaksvrvdiadsskiilndcyigpetdlisysgisigkgsmvswrvqfldedfhlvsyndkkpkdgkitigenclignnvainkgciiadgcvvashsvvngvflekncliagvparvikrniswqh,3.15,3.6,4.05,3.15,3.6,6.76,2.25,13.51,9.01,6.31,2.25,11.26,1.8,0.9,4.5,9.46,1.35,9.91,0.9,2.25,0
5,NonAllergen_8781,mniipcsiktlkglydisgvevgqhfywqiggfqihaqvlitswvvitillgsvviavrnpqtiptdgqnffeyvlefirdlsktqigeeygpwvpfigtmflfifvsnwsgallpwkiielphgelaaptndinttvalalltsaayfyaglskkglsyfekyikptpillpiniledftkplslsfrlfgniladelvvvvlvslvplvvpipvmflglftsgiqalifatlaaayigesmeghh,6.48,0.4,2.43,4.86,6.88,7.69,2.02,10.93,3.64,12.96,1.62,3.24,6.07,3.24,1.21,6.07,6.07,8.5,2.02,3.64,0
7,NonAllergen_7705,mielfmkqkmfsfkdafhiydrdeqetfkvegrffslgdslqmtdssgktlvsieqklmsllpryeisiggktvcevtkkvtfskpkfvisglnweidgdlwrdefqltdgenvrmsvskkwlswgdsyhlqiayeedvlictaiaivldmvlyndedesif,2.47,1.23,8.64,8.64,6.79,5.56,1.23,7.41,8.02,9.26,4.32,1.85,1.23,3.7,3.09,9.26,4.94,6.79,2.47,3.09,0
8,NonAllergen_6910,mmqkklllivsiilnlvftihilyyssttwnptwtnraaaeaetvasfscsghgrafvdglgvldgqkppcecnncyigkdcsvllkdcpvdansgdplflepfwmrqaersailvsgwhrmsyiyedgtyvsrelekvirklhsvvgnavtdnrfvifgsgttqllaaavhalsltnssvssparlltsipyyamykdqaeffdsahlkfegnasawkqsgrndnitqvievvtspnnpdgklkravldgpnvktlhdyayywphfspithpvdedlslfslskttghagsrfgwglvkdkaiyekmdrfirltsmgvsketqlhvlqllkvvvgdggneifsfgygtvkkrwetlnkifsmstrfslqtikpeycnyfkkvreftpsyawvkcerpedtncyeifraakitgrngnvfgseerfvrlslirsqddfdqliamlkklvyheedvpsenfmyi,6.05,1.94,5.18,5.62,5.4,6.26,2.59,5.18,6.26,8.86,2.16,4.75,3.89,2.59,4.97,8.64,5.83,7.56,1.94,4.32,0
9,NonAllergen_6163,mtpthptvtelllplseiddrgvyfedsftswrdhirhgaaiaaalrerldparpphvgvllqntpffsatlvagalsgivpvglnpvrrgaalagdiakadcqlvltgsgsaevpadvehinvdspewtdevaahrdtevrfrsadladlfmliftsgtsgdpkavkcshrkvaiagvtitqrfslgrddvcyvsmplfhsnavlvgwavaaacqgsmalrrkfsasqfladvrrygatyanyvgkplsyvlatpelpddadnplravygnegvpgdidrfgrrfgcvvmdgfgsteggvaitrtldtpagalgplpggiqivdpdtgepcptgvvgelvntagpggfegyyndeaaeaermaggvyhsgdlayrddagyayfagrlgdwmrvdgenlgtapiervlmrypdatevavypvpdpvvgdqvmaalvlapgtkfdadkfraflteqpdlghkqwpsyvrvsaglprtmtfkvikrqlsaegvacadpvwpirr,11.95,1.39,7.77,4.58,3.98,10.16,1.99,3.19,2.19,7.97,1.99,1.99,7.17,1.99,6.97,4.78,5.78,9.76,1.2,3.19,0
10,NonAllergen_8275,mkidlnadlgegcasdaelltlvssaniacgfhagdaqtmqacvreaikngvaigahpsfpdrenfgrsamqlppetvfaqtlyqigalaaitraqggvmchvkphgmlynqaakeaqladaiaravyacdpalilvglagselirageryglvtreevfadrgyqadgslvprsqpgalieneeqalaqtlemvqygrvksitgewamvtaqtvclhgdgehalafarrlratfaekgivvaa,17.21,2.46,4.1,6.97,2.87,9.43,2.46,4.92,2.46,9.02,2.87,2.46,3.28,5.74,5.74,3.69,4.51,6.97,0.41,2.46,0
